date,basis,basis_z,signal,gross_return,transaction_cost,funding_cost,net_return,equity_curve
2024-07-26,-0.000375431303021756,-0.646606309880226,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-27,-0.0003343883045339169,-0.5175749427642611,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-28,-0.0005038640676104933,-0.9339515789977632,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-29,-0.0005195653770613262,-0.9483403078620525,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-30,-0.00043370738125858566,-0.6945956815578512,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-07-31,-0.00040547923712530576,-0.5900960442578425,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-01,-0.0003844419807776944,-0.5026957057927327,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-02,-0.00023792093965369077,-0.02089572421359842,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-03,-0.0002206247214573409,0.08163778773392331,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-04,-0.00028373550882321297,-0.0886675260139611,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-05,-0.0002908669196965974,-0.07945097639825832,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-06,-0.0005501137013563806,-1.0649944206844086,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-07,-0.0005671414103005645,-1.1197230088848817,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-08,-0.0004246598184423078,-0.5032271855714562,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-09,-0.00048320303219107075,-0.7637655267040563,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-10,-0.0005518276001446054,-1.1134957139277455,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-11,-0.00033201116877812353,0.09194560013744231,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-12,-0.00038830291890334934,-0.1831600769294181,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-13,-0.0006050967823494346,-1.499068807179933,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-14,-0.0006015435594335372,-1.438850648611311,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-15,-0.0005225460662590109,-0.8890971740763265,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-16,-0.0003346654862870224,0.31074755360190354,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-17,-0.00039492104152039076,-0.08238560035080353,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-18,-0.0006394598280614616,-1.6167680337718913,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-19,-0.0006731910349575543,-1.8236697004087823,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-20,-0.0005237434725948731,-0.825629665432591,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-21,-0.0005893223887429855,-1.2018041465174247,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-22,-0.0004297343780894636,-0.19823614922151472,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-23,-0.0002708166074292251,0.7884858646145501,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-24,-0.0006316191292619067,-1.4118848341996426,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-25,-0.0004641375924183677,-0.37090850893271277,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-26,-0.0004202429830328924,-0.0723499813035185,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-27,-0.0005134701858189317,-0.645719115753822,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-28,-0.0004218733781691242,-0.025395989223616522,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-29,-0.0006034603010292017,-1.2413169639339474,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-30,-0.00046844751448915645,-0.25802985761103153,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-08-31,-0.0005442862839313278,-0.7851782722523976,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-09-01,-0.0005893342544087687,-1.093282180558957,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-09-02,-0.00033879031884431754,0.9086594386193494,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
2024-09-03,-0.0006234577431758481,-1.4646482607278117,0.0,0.0,0.0,0.0,0.0,0.9979930974220698
